"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 21.03 00:00,Änderungsrate (24 Std. bis 21.03 00:00),Coronavirus Fälle heute (verifiziert),CV-Fälle Tagespiegel Verifizierung,Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),"Coronavirus Fälle heute (verifiziert, blockiert) 23:25","Coronavirus Todesfälle heute (verifiziert, blockiert)",Todesfall Quelle,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Straubing-Bogen,Landkreis,9278,29,107%,29,,https://www.landkreis-straubing-bogen.de/buergerservice/aktuelles-pressemitteilungen/corona/,https://www.landkreis-straubing-bogen.de/buergerservice/aktuelles-pressemitteilungen/corona/,20/03/2020 19:42:00,29,,200,,,,,,0,,,0,0,29,,,,,,,,,,,9,1
Tirschenreuth,Landkreis,9377,77,64%,77,,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/20-weitere-faelle-im-landkreis-tirschenreuth-3-weitere-praxen-betroffen-eingeschraenkter-dienstbetri/,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/ausgangssperre-fuer-die-stadt-mitteteich-47-bestaetigte-faelle-im-landkreis-davon-25-in-der-stadt-mit/,20/03/2020 17:45:00,77,,,,1,,,,0,,,0,0,77,,,,,,,,,,,9,1
Traunstein,Landkreis,9189,34,70%,34,,https://www.traunstein.com/aktuelles/meldungen/aktuelle-informationen-zum-corona-virus-im-lk-ts-drei-neue-bestaetigte-faelle,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 19:47:00,34,,,,1,,,,0,,,0,0,34,,,,,,,,,,,9,1
Unterallgäu,Landkreis,9778,31,63%,31,,https://www.landratsamt-unterallgaeu.de/aktuelles/pressemitteilungen.html,https://www.landratsamt-unterallgaeu.de/aktuelles/pressemitteilungen/pressemitteilung-detail-ansicht/news/detail/news/corona:-so-schuetzen-sie-sich-und-ihre-mitmenschen.html,20/03/2020 19:47:00,31,,,,,,,,0,,,0,0,31,,,31,19.03.2020 - 16:50,https://www.augsburger-allgemeine.de/mindelheim/Corona-Update-31-bestaetigte-Faelle-im-Unterallgaeu-id57078311.html,,,,,,9,1
Weiden i.d. OPf.,Kreisfreie Stadt,9363,7,0%,7,,https://www.weiden.de/stadt/willkommen/aktuelles/zwei-weitere-coronafaelle-in-weiden,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 19:47:00,7,,,,,,,,0,,,0,0,7,,,,,,,,,,,9,1
Weilheim-Schongau,Landkreis,9190,56,27%,56,,https://www.weilheim-schongau.de/aktuelles/aktuelle-meldungen/pressemitteilung-54-2020-vom-16032020/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 19:47:00,56,,53,3,1,,,,0,,,0,0,56,,,,,,,,,,,9,1
Weißenburg-Gunzenhausen,Landkreis,9577,8,14%,8,,https://www.landkreis-wug.de/presseliveticker-corona/,https://www.landkreis-wug.de/newsticker-corona/,20/03/2020 19:51:00,8,,,,,,,,0,,,0,0,8,,,,,,,,,,,9,1
Wunsiedel i. Fichtelgebirge,Landkreis,9479,16,0%,16,,https://www.landkreis-wunsiedel.de/buergerservice/news/2020/wichtige-informationen-zum-coronavirus-sars-cov-2,https://www.landkreis-wunsiedel.de/buergerservice/news/2020/wichtige-informationen-zum-coronavirus-sars-cov-2,20/03/2020 19:51:00,16,,,,2,,,,0,,,0,0,16,,,,,,,,,,,9,1
Würzburg,Kreisfreie Stadt,9663,66,57%,66,55,https://www.wuerzburg.de/themen/gesundheit-soziales/coronavirus/index.html,https://www.wuerzburg.de/themen/gesundheit-soziales/coronavirus/index.html,20/03/2020 23:47:51,66,,205,,9,,,,0,,,0,0,66,,,166,20.03.2020 14:30,"https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/54-weitere-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg.php?object=tx,2680.5&ModID=7&FID=2680.21417.1&NavID=2680.396&La=1",,,,,,9,1
Würzburg,Landkreis,9679,100,43%,100,74,"https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/Sieben-neue-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg-Landrat-sagt-Wahlstudio-im-Landratsamt-ab.php?object=tx,2680.5&ModID=7&FID=2680.21372.1&NavID=2680.396&La=1","https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/Sieben-neue-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg-Landrat-sagt-Wahlstudio-im-Landratsamt-ab.php?object=tx,2680.5&ModID=7&FID=2680.21372.1&NavID=2680.396&La=1",20/03/2020 23:47:51,100,,400,,,,,,0,,,0,0,100,,,0,20.03.2020 14:30,"https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/54-weitere-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg.php?object=tx,2680.5&ModID=7&FID=2680.21417.1&NavID=2680.396&La=1",,,,,,9,1
Merzig-Wadern,Landkreis,10042,15,7%,15,15,"https://www.merzig-wadern.de/Kurzmen%C3%BC/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1",https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,20/03/2020 22:04:48,15,,,,,,,,0,,,0,0,15,,,,,,,,,,,10,1
Neunkirchen,Landkreis,10043,34,31%,34,,https://www.neunkirchen.de/index.php?id=corona,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,20/03/2020 23:47:52,34,,,,,,,,0,,,0,0,34,,,,,,,,,,,10,1
Regionalverband Saarbrücken,Landkreis,10041,102,19%,102,,https://www.regionalverband-saarbruecken.de/presse/nachricht-startseite/news/aktuell-27-bestaetigte-coronavirus-erkrankte-im-regionalverband/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=dbd9b39722210833eabe8e14303aafd1,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,20/03/2020 23:47:52,102,,,,,,,,0,,,0,0,102,,,,,,,,,,,10,1
Saarlouis,Landkreis,10044,39,5%,39,,https://www.kreis-saarlouis.de/Aktuelles/Corona-Ticker-Aktuelle-Lage.html?,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,20/03/2020 23:47:51,39,,,,,,,,0,,,0,0,39,,,,,,,,,,,10,1
Saarpfalz-Kreis,Landkreis,10045,40,14%,40,,https://www.saarpfalz-kreis.de/images/Gesundheitsamt/2020/Medieninfo_MfSGFF_163_Saarlndisches_Gesundheitsministerium_besttigt_weitere_elf_Erkrankungen_am_Coronavirus.pdf,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,20/03/2020 23:47:51,40,,,,,,,,0,,,0,0,40,,,,,,,,,,,10,1
St. Wendel,Landkreis,10046,38,19%,38,,https://www.landkreis-st-wendel.de/der-landkreis/landratsamt/aktuelle-meldungen/,https://www.landkreis-st-wendel.de/der-landkreis/landratsamt/aktuelle-meldungen/,20/03/2020 23:47:52,43,,,,,21/03/2020 14:28:18,https://www.sr.de/sr/home/nachrichten/panorama/corona_aktuelle_fallzahlen_saarland_100.html,@passix_,5,@LunaticMax,,0,0,38,,,,,,,,,,,10,1.131578947
Berlin,Kreisfreie Stadt,11000,868,26%,868,,https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php,https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php,20/03/2020 23:47:51,868,,,44,1,,,,0,,,0,0,868,,,,,,,,,,,11,1
Barnim,Landkreis,12060,29,38%,29,,https://www.barnim.de/leben-in-barnim/gesundheit/coronavirus.html,https://www.barnim.de/leben-in-barnim/gesundheit/coronavirus.html,20/03/2020 12:00:00,29,22,205,1,,,,,0,,,0,0,29,,,,,,,,,,,12,1
Brandenburg an der Havel,Kreisfreie Stadt,12051,7,75%,7,,https://www.stadt-brandenburg.de/leben/gesundheit/coronavirus-ncov/,https://www.stadt-brandenburg.de/leben/gesundheit/coronavirus-ncov/,20/03/2020 11:00:00,7,,,,,,,,0,,,0,0,7,,,,,,,,,,,12,1
Cottbus,Kreisfreie Stadt,12052,20,0%,20,,http://www.cottbus.de/verwaltung/gb_iii/gesundheit/coronavirus_covid-19_sars-cov-2.html,http://www.cottbus.de/verwaltung/gb_iii/gesundheit/coronavirus_covid-19_sars-cov-2.html,20/03/2020 20:44:00,20,,228,2,,,,,0,,,0,0,20,,,,,,,,,,,12,1
Dahme-Spreewald,Landkreis,12061,21,17%,21,,https://www.dahme-spreewald.info/de/Politik_&_Verwaltung/Verwaltungsstruktur/Dezernat_fuer_Soziales_Jugend_Gesundheit_und_Kultur/Gesundheitsamt/Coronavirus/58651.html,https://www.dahme-spreewald.info/de/Politik_&_Verwaltung/Verwaltungsstruktur/Dezernat_fuer_Soziales_Jugend_Gesundheit_und_Kultur/Gesundheitsamt/Coronavirus/58651.html,20/03/2020 17:00:00,21,,,,,,,,0,,,0,0,21,,,,,,,,,,,12,1
Elbe-Elster,Landkreis,12062,8,14%,8,,https://www.lkee.de/Service-Verwaltung/Kreisverwaltung/Gesundheitsamt/Coronavirus,https://www.lkee.de/Service-Verwaltung/Kreisverwaltung/Gesundheitsamt/Coronavirus,20/03/2020 20:44:00,8,,,,,,,,0,,,0,0,8,,,,,,,,,,,12,1
Frankfurt (Oder),Kreisfreie Stadt,12053,3,0%,3,,"https://www.frankfurt-oder.de/Schnellnavigation/Startseite/OB-Ren%C3%A9-Wilke-informiert-Aktuelles-vom-Tage-Montag-16-M%C3%A4rz-2020.php?object=tx,2616.14&ModID=7&FID=2616.14852.1","https://www.frankfurt-oder.de/Schnellnavigation/Startseite/OB-Ren%C3%A9-Wilke-informiert-Aktuelles-vom-Tage-Montag-16-M%C3%A4rz-2020.php?object=tx,2616.14&ModID=7&FID=2616.14852.1",20/03/2020 20:44:00,3,,,,,,,,0,,,0,0,3,,,,,,,,,,,12,1
Havelland,Landkreis,12063,10,25%,10,,https://www.havelland.de/coronavirus/,https://www.havelland.de/coronavirus/,20/03/2020 15:30:00,10,,,,,,,,0,,,0,0,10,,,,,,,,,,,12,1
Märkisch-Oderland,Landkreis,12064,40,38%,40,,https://www.maerkisch-oderland.de/de/aktuelles/pressemitteilung-262020.html,https://www.maerkisch-oderland.de/de/aktuelle-lageberichte.html,20/03/2020 10:00:00,40,,150,,,,,,0,,,0,0,40,,,,,,,,,,,12,1
Oberhavel,Landkreis,12065,29,26%,29,,https://www.oberhavel.de/B%C3%BCrgerservice/Gesundheit/Aktuelles-zum-Coronavirus,"https://www.oberhavel.de/Politik-und-Verwaltung/Verwaltungsstruktur/Büro-des-Landrates/Presse-und-Öffentlichkeitsarbeit/Pressemitteilungen/Treffen-der-Bürgermeister-zur-aktuellen-Lage.php?object=tx,2244.1.1&ModID=7&FID=2244.46769.1&NavID=2244.87&La=1",20/03/2020 15:00:00,29,,359,2,,,,,0,,,0,0,29,,,,,,,,,,,12,1
Oberspreewald-Lausitz,Landkreis,12066,6,20%,6,,http://www.osl-online.de/news/index.php?rubrik=1,http://www.osl-online.de/news/index.php?rubrik=1,20/03/2020 20:45:00,6,,184,,,,,,0,,,0,0,6,,,,,,,,,,,12,1
Oder-Spree,Landkreis,12067,37,16%,37,,https://www.landkreis-oder-spree.de/Service-Aktuelles/Aktuelles/Coronavirus,https://www.landkreis-oder-spree.de/Service-Aktuelles/Aktuelles/Coronavirus,20/03/2020 22:04:48,37,,,,,,,,0,,,0,0,37,,,,,,,,,,,12,1
Ostprignitz-Ruppin,Landkreis,12068,6,0%,6,,https://www.ostprignitz-ruppin.de/,https://www.ostprignitz-ruppin.de/,20/03/2020 20:50:00,6,,,,,,,,0,,,0,0,6,,,,,,,,,,,12,1
Potsdam,Kreisfreie Stadt,12054,37,23%,37,,https://www.potsdam.de/177-potsdam-schliesst-kneipen-und-kinos-regelungen-fuer-gaststaetten,https://www.potsdam.de/177-potsdam-schliesst-kneipen-und-kinos-regelungen-fuer-gaststaetten,20/03/2020 20:50:00,37,,,,,,,,0,,,0,0,37,,,30 in PNN aber kann nicht die offiziell wert finden,,,,,,,,12,1
Potsdam-Mittelmark,Landkreis,12069,28,40%,28,,https://www.potsdam-mittelmark.de/de/aktuelles-termine/neues-aus-dem-landkreis/aktuelles/?tx_ttnews%5Btt_news%5D=886&cHash=210c04036e2c7639dedc03c272700cd1,https://www.potsdam-mittelmark.de/de/aktuelles-termine/neues-aus-dem-landkreis/aktuelles/?tx_ttnews%5Btt_news%5D=886&cHash=210c04036e2c7639dedc03c272700cd1,20/03/2020 18:00:00,28,,,,,,,,0,,,0,0,28,,,24 in PNN aber gleich,,,,,,,,12,1
Prignitz,Landkreis,12070,1,0%,1,,https://www.landkreis-prignitz.de/de/aktuelles/index.php,https://www.landkreis-prignitz.de/de/aktuelles/index.php,20/03/2020 22:04:48,1,,,,,,,,0,,,0,0,1,,,,,,,,,,,12,1
Spree-Neiße,Landkreis,12071,23,-8%,23,,https://www.lkspn.de/aktuelles/aktuelles-landkreis-spree-neisse/informationen_coronavirus.html,https://www.lkspn.de/aktuelles/aktuelles-landkreis-spree-neisse/informationen_coronavirus.html,20/03/2020 22:04:48,23,,115,,,,,,0,,,0,0,23,,,,,,,,,,,12,1
Teltow-Fläming,Landkreis,12072,13,8%,13,,http://www.teltow-flaeming.de/de/service/gesundheit/corona-virus-dossier.php,http://www.teltow-flaeming.de/de/service/gesundheit/corona-virus-dossier.php,20/03/2020 22:04:48,13,,34,,,,,,0,,,0,0,13,,,,,,,,,,,12,1
Uckermark,Landkreis,12073,6,50%,6,,"https://www.uckermark.de/index.phtml?La=1&mNavID=1897.1&object=tx,2203.462.1&kat=&kuo=2&sub=0",https://www.uckermark.de/PDF/Erste_best%C3%A4tigte_F%C3%A4lle_einer_Covi1.PDF?ObjSvrID=2203&ObjID=3437&ObjLa=1&Ext=PDF&WTR=1&_ts=1584516990,20/03/2020 20:55:00,6,,,,,,,,0,,,0,0,6,,,,,,,,,,,12,1
Ludwigslust-Parchim,Landkreis,13076,18,38%,18,,https://www.kreis-lup.de/corona/,https://www.kreis-lup.de/corona/,20/03/2020 20:55:00,18,,,,,,,,0,,,0,0,18,,,,,,,,,,,13,1
Mecklenburgische Seenplatte,Landkreis,13071,23,15%,23,,https://www.lk-mecklenburgische-seenplatte.de/Aktuelles/Presse/Informationen-zu-Corona,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,20/03/2020 22:04:48,23,,,,,,,,0,,,0,0,23,,,,,,,,,,,13,1
Nordwestmecklenburg,Landkreis,13074,17,13%,17,,https://www.nordwestmecklenburg.de/de/aktuelle-meldung.html,https://www.nordwestmecklenburg.de/de/aktuelle-meldung.html,20/03/2020 21:04:00,17,,,,,,,,0,,,0,0,17,,,,,,,,,,,13,1
Rostock,Kreisfreie Stadt,13003,23,0%,23,,https://www.rostock.de/pandemie,https://www.rostock.de/pandemie,20/03/2020 21:04:00,23,,,,,,,,0,,,0,0,23,,,,,,,,,,,13,1
Rostock,Landkreis,13072,17,31%,17,,https://www.landkreis-rostock.de/landkreis/aktuelles/news/2020/maerz/coronavirus-2.html,https://www.landkreis-rostock.de/landkreis/aktuelles/news/2020/maerz/coronavirus-2.html,20/03/2020 22:04:48,17,3,,,,,,,0,,,0,0,17,,,,,,,,,,,13,1
Schwerin,Kreisfreie Stadt,13004,33,14%,33,,https://www.schwerin.de/politik-verwaltung/stadtverwaltung/pressestelle/pressemitteilungen/,https://www.schwerin.de/politik-verwaltung/stadtverwaltung/pressestelle/pressemitteilungen/,20/03/2020 18:15:00,33,,,,,,,,0,,,0,0,33,,,,,,,,,,,13,1
Vorpommern-Greifswald,Landkreis,13075,24,20%,24,,"https://www.kreis-vg.de/Kurzmen%C3%BC/Startseite/Aktuelles-zum-CORONA-Virus.php?object=tx,3079.5&ModID=7&FID=3079.14685.1","https://www.kreis-vg.de/Kurzmen%C3%BC/Startseite/Aktuelles-zum-CORONA-Virus.php?object=tx,3079.5&ModID=7&FID=3079.14685.1",20/03/2020 21:00:00,24,,,,,,,,0,,,0,0,24,,,,,,,,,,,13,1
Vorpommern-Rügen,Landkreis,13073,12,20%,12,,https://www.lk-vr.de/,https://www.lk-vr.de/,20/03/2020 21:00:00,12,,,,,,,,0,,,0,0,12,,,,,,,,,,,13,1
Bautzen,Landkreis,14625,55,15%,55,55,https://www.landkreis-bautzen.de/lagebericht-corona-virus-im-landkreis-bautzen-stand-16-00-uhr.php,https://www.landkreis-bautzen.de/lagebericht-corona-virus-im-landkreis-bautzen-stand-16-00-uuhr.php,20/03/2020 22:04:48,55,,581,1,1,,,,0,,,0,0,55,,,,,,,,,,,14,1
Chemnitz,Kreisfreie Stadt,14511,35,30%,35,35,https://chemnitz.de/chemnitz/de/leben-in-chemnitz/gesundheit/gesundheitsschutz/coronavirus/index.html,https://www.sms.sachsen.de/coronavirus.html,20/03/2020 20:00:00,35,,,,,,,,0,,,0,0,35,,,,,,,,,,,14,1
Dresden,Kreisfreie Stadt,14612,97,62%,115,89,https://www.dresden.de/de/leben/gesundheit/hygiene/infektionsschutz/corona.php,https://www.sms.sachsen.de/coronavirus.html,20/03/2020 14:00:00,115,,,,,20/03/2020 14:00:00,https://www.dresden.de/de/leben/gesundheit/hygiene/infektionsschutz/corona.php,@freek_one / Marcel,18,@Perix,@Stuqa,1,0,97,,,,,,,,,,,14,1.18556701
Erzgebirgskreis,Landkreis,14521,29,7%,29,,https://www.erzgebirgskreis.de/de/?no_cache=1,https://www.erzgebirgskreis.de/de/nachrichten/aktuelles/?tx_news_pi1%5B%40widget_0%5D%5BcurrentPage%5D=1&tx_news_pi1%5Bnews%5D=7304&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=2f41d54ab778b8b898036e403f58b8d8,20/03/2020 14:00:00,29,,,,,,,,0,,,0,0,29,,,,,,,,,,,14,1
Görlitz,Landkreis,14626,15,-17%,15,15,http://coronavirus.landkreis.gr/,http://coronavirus.landkreis.gr/,20/03/2020 14:00:00,15,,109,,,,,,0,,,0,0,15,,,,,,,,,,,14,1
Leipzig,Kreisfreie Stadt,14713,119,27%,119,119,https://www.sms.sachsen.de/coronavirus.html,https://www.leipzig.de/news/news/coronavirus-videostatement-vom-20032020/,20/03/2020 14:00:00,119,,,,,,,,0,,,0,0,119,,,,,,,,,,,14,1
Leipzig,Landkreis,14729,33,18%,33,33,https://www.landkreisleipzig.de/,https://www.landkreisleipzig.de/pressemeldungen.html?pm_id=3766,20/03/2020 14:00:00,39,,28,,,,,,6,,,0,0,33,,,,,,,,,,,14,1.181818182
Meißen,Landkreis,14627,18,6%,18,18,http://www.kreis-meissen.org/15946.html,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,20/03/2020 14:00:00,18,,225,,,,,,0,,,0,0,18,,,,,,,,,,,14,1
Mittelsachsen,Landkreis,14522,24,41%,24,24,https://www.landkreis-mittelsachsen.de/corona,https://www.landkreis-mittelsachsen.de/corona.html,20/03/2020 15:30:00,24,,37,,,,,,0,,,0,0,24,,,,,,,,,,,14,1
Nordsachsen,Landkreis,14730,15,50%,15,15,https://www.landkreis-nordsachsen.de/infos_zum_coronavirus.html,https://www.landkreis-nordsachsen.de/infos_zum_coronavirus.html,20/03/2020 14:00:00,15,,108,,,,,,0,,,0,0,15,,,,,,,,,,,14,1
Sächsische Schweiz-Osterzgebirge,Landkreis,14628,35,30%,35,35,https://www.landratsamt-pirna.de/50282.htm,https://www.sms.sachsen.de/coronavirus.html,20/03/2020 15:30:00,35,,,,,,,,0,,,0,0,35,,,,,,,,,,,14,1
Vogtlandkreis,Landkreis,14523,10,43%,10,10,https://www.vogtlandkreis.de/B%C3%BCrgerservice-und-Verwaltung/Infos-und-Services/Pressemitteilungen,https://www.sms.sachsen.de/coronavirus.html,20/03/2020 14:00:00,10,,,,,,,,0,,,0,0,10,,,,,,,,,,,14,1
Zwickau,Landkreis,14524,110,120%,110,110,https://www.landkreis-zwickau.de/index.html,https://www.landkreis-zwickau.de/anzahl-der-faelle-weiter-im-ansteigen,20/03/2020 00:00:00,110,,429,,,,,,0,,,0,0,110,,,,,,,,,,,14,
Altmarkkreis Salzwedel,Landkreis,15081,3,0%,3,,https://www.altmarkkreis-salzwedel.de/buerger-presseservice/presseservice/pressemitteilungen-neuigkeiten-pressebilder/fuenf-personen-in-sachsen-anhalt-positiv-auf-coronavirus-getestet.aspx,https://www.altmarkkreis-salzwedel.de/buerger-presseservice/presseservice/pressemitteilungen-neuigkeiten-pressebilder/fuenf-personen-in-sachsen-anhalt-positiv-auf-coronavirus-getestet.aspx,20/03/2020 20:33:00,3,,98,,,,,,0,,,0,0,3,,,,,,,,,,,15,1
Anhalt-Bitterfeld,Landkreis,15082,9,13%,9,,http://www.anhalt-bitterfeld.de/media/pdf/corona/coronas-krise_-_presseinformation__16._maerz_2020__14_uhr.pdf,http://www.anhalt-bitterfeld.de/de/buergerservice/informationen-zum-coronavirus-20024087.html,20/03/2020 20:33:00,9,,,,,,,,0,,,0,0,9,,,,,,,,,,,15,1
Börde,Landkreis,15083,29,16%,29,26,https://www.landkreis-boerde.de/menschen/gesundheit/coronavirus/aktuelle-kurznachrichten/,https://www.landkreis-boerde.de/menschen/gesundheit/coronavirus/aktuelle-kurznachrichten/,20/03/2020 16:00:00,29,,,,,,,,0,,,0,0,29,,,,,,,,,,,15,1
Burgenlandkreis,Landkreis,15084,15,7%,15,,https://www.burgenlandkreis.de/de/quicklinks/corona-virus-aktuelle-entwicklung-20049167.html,https://www.burgenlandkreis.de/de/quicklinks/corona-virus-aktuelle-entwicklung-20049167.html,20/03/2020 20:33:00,15,,108,,,,,,0,,,0,0,15,,,,,,,,,,,15,1
Dessau-Roßlau,Kreisfreie Stadt,15001,9,80%,9,,https://verwaltung.dessau-rosslau.de/stadt-buerger/neuigkeiten/detailseite/article/corona-virus-breitet-sich-aus.html,https://verwaltung.dessau-rosslau.de/stadt-buerger/neuigkeiten/detailseite/article/corona-virus-breitet-sich-aus.html,20/03/2020 20:33:00,9,,,,,,,,0,,,0,0,9,,,,,,,,,,,15,1
Halle (Saale),Kreisfreie Stadt,15002,57,14%,57,57,https://www.halle.de/de/Verwaltung/Presseportal/Nachrichten/index.aspx?NewsId=45334,https://www.halle.de/de/Verwaltung/Presseportal/Nachrichten/index.aspx?NewsId=45334,20/03/2020 15:55:00,57,,,,,,,,0,,,0,0,57,,,,,,,,,,,15,1
Harz,Landkreis,15085,12,9%,12,,http://www.kreis-hz.de/de/coronavirus.html,http://www.kreis-hz.de/de/coronavirus.html,20/03/2020 20:33:00,12,,,,,,,,0,,,0,0,12,,,,,,,,,,,15,1
Jerichower Land,Landkreis,15086,6,100%,6,,https://www.lkjl.de/de/index.php?id=223359001131,https://www.lkjl.de/de/index.php?id=223359001131,20/03/2020 20:33:00,6,,71,,,,,,0,,,0,0,6,,,,,,,,,,,15,1
Magdeburg,Kreisfreie Stadt,15003,39,34%,39,,http://magdeburg.de/Start/B%C3%BCrger-Stadt/Aktuelles-Presse/Coronavirus-Covid-19,http://magdeburg.de/Start/B%C3%BCrger-Stadt/Aktuelles-Presse/Coronavirus-Covid-19,20/03/2020 20:33:00,39,,,,,,,,0,,,0,0,39,,,,,,,,,,,15,1
Mansfeld-Südharz,Landkreis,15087,5,25%,5,,https://www.mansfeldsuedharz.de/de/meldungen/landkreis.html,https://www.mansfeldsuedharz.de/de/meldungen/landkreis.html,20/03/2020 20:40:00,5,,,,,,,,0,,,0,0,5,,,,,,,,,,,15,1
Saalekreis,Landkreis,15088,15,25%,15,,https://www.saalekreis.de/de/aktuelles-publikationen/coronavirus.html,https://www.saalekreis.de/de/aktuelles-publikationen/coronavirus.html,20/03/2020 20:40:00,15,,290,,,,,,0,,,0,0,15,,,,,,,,,,,15,1
Salzlandkreis,Landkreis,15089,18,64%,18,,https://www.salzlandkreis.de/verwaltung/fachdienste-plattform/34-gesundheit/corona-virus/,https://www.salzlandkreis.de/verwaltung/fachdienste-plattform/34-gesundheit/corona-virus/,20/03/2020 20:40:00,18,,53,,,,,,0,,,0,0,18,,,,,,,,,,,15,1
Stendal,Landkreis,15090,10,43%,10,10,https://www.landkreis-stendal.de/,https://www.landkreis-stendal.de/,20/03/2020 15:55:00,10,,139,,,,,,0,,,0,0,10,,,,,,,,,,,15,1
Wittenberg,Landkreis,15091,15,36%,15,15,https://www.landkreis-wittenberg.de/de/aktuelles/informationen-zum-coronavirus.html,https://www.landkreis-wittenberg.de/de/aktuelles/informationen-zum-coronavirus.html,20/03/2020 16:50:00,15,,,,,,,,0,,,0,0,15,,,,,,,,,,,15,1
Altenburger Land,Landkreis,16077,5,0%,5,,https://www.altenburgerland.de/sixcms/detail.php?&_nav_id1=2508&_lang=de&id=371691,https://www.altenburgerland.de/sixcms/detail.php?&_nav_id1=2508&_lang=de&id=371691,20/03/2020 19:54:00,5,,,1/0,,,,,0,,,0,0,5,,,,,,,,,,,16,1
Eichsfeld,Landkreis,16061,7,75%,7,,https://www.kreis-eic.de/pressemitteilungen.html,https://www.kreis-eic.de/pressemitteilungen.html,20/03/2020 19:54:00,7,1,,1/0,,,,,0,,,0,0,7,,,,,,,,,,,16,1
Eisenach,Kreisfreie Stadt,16056,2,100%,2,,https://www.eisenach.de/startseite,https://www.wartburgkreis.de/leben-im-wartburgkreis/gesundheit/aktuelle-informationen-zum-corona-virus,20/03/2020 19:54:00,2,1,3,,,,,,0,,,0,0,2,,,"2 Gesamtzahl in Eisenach, 1 recovered",,,,,,,,16,1
