"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 20.03 00:00,Änderungsrate (24 Std.),Coronavirus Fälle heute (verifiziert),Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Oberspreewald-Lausitz,Landkreis,12066,5,0%,5,http://www.osl-online.de/news/index.php?rubrik=1,http://www.osl-online.de/news/index.php?rubrik=1,19/03/2020 23:59:00,5,,,,,,,,0,,,0,0,,,,,,,,,12,1
Oder-Spree,Landkreis,12067,32,39%,32,https://www.landkreis-oder-spree.de/Service-Aktuelles/Aktuelles/Coronavirus,https://www.landkreis-oder-spree.de/Service-Aktuelles/Aktuelles/Coronavirus,19/03/2020 17:53:00,32,,,,,,,,0,,,0,0,,,,,,,,,12,1
Ostprignitz-Ruppin,Landkreis,12068,6,500%,6,https://www.ostprignitz-ruppin.de/,https://www.ostprignitz-ruppin.de/,19/03/2020 16:40:00,6,,,,,,,,0,,,0,0,,,,,,,,,12,1
Potsdam,Kreisfreie Stadt,12054,30,76%,30,https://www.potsdam.de/177-potsdam-schliesst-kneipen-und-kinos-regelungen-fuer-gaststaetten,https://www.potsdam.de/177-potsdam-schliesst-kneipen-und-kinos-regelungen-fuer-gaststaetten,18.03.2020,30,,200,1,,,,,0,,,0,0,30 in PNN aber kann nicht die offiziell wert finden,,,,,,,,12,1
Potsdam-Mittelmark,Landkreis,12069,20,43%,20,https://www.potsdam-mittelmark.de/de/aktuelles-termine/neues-aus-dem-landkreis/aktuelles/?tx_ttnews%5Btt_news%5D=886&cHash=210c04036e2c7639dedc03c272700cd1,https://www.potsdam-mittelmark.de/de/aktuelles-termine/neues-aus-dem-landkreis/aktuelles/?tx_ttnews%5Btt_news%5D=886&cHash=210c04036e2c7639dedc03c272700cd1,19/03/2020 23:59:00,20,,,,,,,,0,,,0,0,24 in PNN aber gleich,,,,,,,,12,1
Prignitz,Landkreis,12070,1,0%,1,https://www.landkreis-prignitz.de/de/aktuelles/index.php,https://www.landkreis-prignitz.de/de/aktuelles/index.php,19/03/2020 23:59:00,1,,,,,,,,0,,,0,0,,,,,,,,,12,1
Spree-Neiße,Landkreis,12071,25,25%,25,https://www.lkspn.de/aktuelles/aktuelles-landkreis-spree-neisse/informationen_coronavirus.html,https://www.lkspn.de/aktuelles/aktuelles-landkreis-spree-neisse/informationen_coronavirus.html,19/03/2020 23:59:00,25,,,,,,,,0,,,0,0,,,,,,,,,12,1
Teltow-Fläming,Landkreis,12072,12,9%,12,http://www.teltow-flaeming.de/de/service/gesundheit/corona-virus-dossier.php,http://www.teltow-flaeming.de/de/service/gesundheit/corona-virus-dossier.php,19/03/2020 16:40:00,12,,27,,,,,,0,,,0,0,,,,,,,,,12,1
Uckermark,Landkreis,12073,4,300%,4,"https://www.uckermark.de/index.phtml?La=1&mNavID=1897.1&object=tx,2203.462.1&kat=&kuo=2&sub=0",https://www.uckermark.de/PDF/Erste_best%C3%A4tigte_F%C3%A4lle_einer_Covi1.PDF?ObjSvrID=2203&ObjID=3437&ObjLa=1&Ext=PDF&WTR=1&_ts=1584516990,19/03/2020 00:00:00,4,,,,,,,,0,,,0,0,,,,,,,,,12,1
Ludwigslust-Parchim,Landkreis,13076,13,333%,13,https://www.kreis-lup.de/corona/,https://www.kreis-lup.de/corona/,19/03/2020 21:20:00,13,,,,,,,,0,,,0,0,,,,,,,,,13,1
Mecklenburgische Seenplatte,Landkreis,13071,20,5%,20,https://www.lk-mecklenburgische-seenplatte.de/Aktuelles/Presse/Informationen-zu-Corona,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,19/03/2020 21:11:00,20,,,,,,,,0,,,0,0,,,,,,,,,13,1
Nordwestmecklenburg,Landkreis,13074,15,275%,15,https://www.nordwestmecklenburg.de/de/aktuelle-meldung.html,https://www.nordwestmecklenburg.de/de/aktuelle-meldung.html,19/03/2020 21:16:00,15,,,,,,,,0,,,0,0,,,,,,,,,13,1
Rostock,Kreisfreie Stadt,13003,23,0%,23,https://www.rostock.de/pandemie,https://www.rostock.de/pandemie,19/03/2020 23:59:00,23,,,,,,,,0,,,0,0,,,,,,,,,13,1
Rostock,Landkreis,13072,13,-32%,13,https://www.landkreis-rostock.de/landkreis/aktuelles/news/2020/maerz/coronavirus-2.html,https://www.landkreis-rostock.de/landkreis/aktuelles/news/2020/maerz/coronavirus-2.html,19/03/2020 23:59:00,13,3,,,,,,,0,,,0,0,,,,,,,,,13,1
Schwerin,Kreisfreie Stadt,13004,29,53%,29,https://www.schwerin.de/politik-verwaltung/stadtverwaltung/pressestelle/pressemitteilungen/,https://www.schwerin.de/politik-verwaltung/stadtverwaltung/pressestelle/pressemitteilungen/,19/03/2020 21:13:00,29,,,,,,,,0,,,0,0,,,,,,,,,13,1
Vorpommern-Greifswald,Landkreis,13075,20,54%,20,"https://www.kreis-vg.de/Kurzmen%C3%BC/Startseite/Aktuelles-zum-CORONA-Virus.php?object=tx,3079.5&ModID=7&FID=3079.14685.1","https://www.kreis-vg.de/Kurzmen%C3%BC/Startseite/Aktuelles-zum-CORONA-Virus.php?object=tx,3079.5&ModID=7&FID=3079.14685.1",19/03/2020 21:18:00,20,,,,,,,,0,,,0,0,,,,,,,,,13,1
Vorpommern-Rügen,Landkreis,13073,10,11%,10,https://www.lk-vr.de/,https://www.lk-vr.de/,19/03/2020 21:18:00,10,,,,,,,,0,,,0,0,,,,,,,,,13,1
Bautzen,Landkreis,14625,48,33%,48,https://www.landkreis-bautzen.de/lagebericht-corona-virus-im-landkreis-bautzen-stand-16-00-uhr.php,https://www.landkreis-bautzen.de/lagebericht-corona-virus-im-landkreis-bautzen-stand-16-00-uuhr.php,19/03/2020 17:12:00,48,,,2,,,,,0,,,0,0,,,,,,,,,14,1
Chemnitz,Kreisfreie Stadt,14511,27,50%,27,https://chemnitz.de/chemnitz/de/leben-in-chemnitz/gesundheit/gesundheitsschutz/coronavirus/index.html,https://www.sms.sachsen.de/coronavirus.html,19.03.2020,27,,,,,,,,0,,,0,0,,,,,,,,,14,1
Dresden,Kreisfreie Stadt,14612,60,22%,60,https://www.sms.sachsen.de/coronavirus.html,https://www.sms.sachsen.de/coronavirus.html,19/03/2020 23:59:00,60,,,,,,,,0,,,0,0,,,,,,,,,14,1
Erzgebirgskreis,Landkreis,14521,27,80%,27,https://www.erzgebirgskreis.de/de/?no_cache=1,https://www.erzgebirgskreis.de/de/nachrichten/aktuelles/?tx_news_pi1%5B%40widget_0%5D%5BcurrentPage%5D=1&tx_news_pi1%5Bnews%5D=7304&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=2f41d54ab778b8b898036e403f58b8d8,19/03/2020 22:04:00,27,,,,,,,,0,,,0,0,,,,,,,,,14,1
Görlitz,Landkreis,14626,18,80%,18,http://coronavirus.landkreis.gr/,http://coronavirus.landkreis.gr/,19/03/2020 22:06:00,18,,,,,,,,0,,,0,0,,,,,,,,,14,1
Leipzig,Kreisfreie Stadt,14713,94,31%,94,https://www.sms.sachsen.de/coronavirus.html,https://www.sms.sachsen.de/coronavirus.html,19/03/2020 22:03:00,94,,,,,,,,0,,,0,0,,,,,,,,,14,1
Leipzig,Landkreis,14729,28,12%,28,https://www.landkreisleipzig.de/,https://www.landkreisleipzig.de/corona_virus.html,19.03.2020,28,,28,,,,,,0,,,0,0,,,,,,,,,14,1
Meißen,Landkreis,14627,17,42%,17,http://www.kreis-meissen.org/15946.html,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,19/03/2020 22:14:00,17,,,,,,,,0,,,0,0,,,,,,,,,14,1
Mittelsachsen,Landkreis,14522,17,31%,17,https://www.landkreis-mittelsachsen.de/corona,https://www.landkreis-mittelsachsen.de/corona.html,19/03/2020 21:00:00,17,,37,,,,,,0,,,0,0,,,,,,,,,14,1
Nordsachsen,Landkreis,14730,10,67%,10,https://www.landkreis-nordsachsen.de/infos_zum_coronavirus.html,https://www.landkreis-nordsachsen.de/infos_zum_coronavirus.html,19/03/2020 22:15:00,10,,59,,,,,,0,,,0,0,,,,,,,,,14,1
Sächsische Schweiz-Osterzgebirge,Landkreis,14628,27,35%,27,https://www.landratsamt-pirna.de/50282.htm,https://www.sms.sachsen.de/coronavirus.html,19/03/2020 22:17:00,27,,,,,,,,0,,,0,0,,,,,,,,,14,1
Vogtlandkreis,Landkreis,14523,7,40%,7,https://www.vogtlandkreis.de/B%C3%BCrgerservice-und-Verwaltung/Infos-und-Services/Pressemitteilungen,https://www.sms.sachsen.de/coronavirus.html,19/03/2020 22:19:00,7,,,,,,,,0,,,0,0,,,,,,,,,14,1
Zwickau,Landkreis,14524,50,35%,50,https://www.landkreis-zwickau.de/index.html,https://www.landkreis-zwickau.de/anzahl-der-faelle-weiter-im-ansteigen,19/03/2020 22:20:00,50,,,,,,,,0,,,0,0,,,,,,,,,14,
Altmarkkreis Salzwedel,Landkreis,15081,3,0%,3,https://www.altmarkkreis-salzwedel.de/buerger-presseservice/presseservice/pressemitteilungen-neuigkeiten-pressebilder/fuenf-personen-in-sachsen-anhalt-positiv-auf-coronavirus-getestet.aspx,https://www.altmarkkreis-salzwedel.de/buerger-presseservice/presseservice/pressemitteilungen-neuigkeiten-pressebilder/fuenf-personen-in-sachsen-anhalt-positiv-auf-coronavirus-getestet.aspx,19/03/2020 23:04:00,3,,,0,,,,,0,,,0,0,,,,,,,,,15,1
Anhalt-Bitterfeld,Landkreis,15082,8,33%,8,http://www.anhalt-bitterfeld.de/media/pdf/corona/coronas-krise_-_presseinformation__16._maerz_2020__14_uhr.pdf,http://www.anhalt-bitterfeld.de/de/buergerservice/informationen-zum-coronavirus-20024087.html,19/03/2020 16:00:00,8,,,,,,,,0,,,0,0,,,,,,,,,15,1
Börde,Landkreis,15083,25,14%,25,https://www.landkreis-boerde.de/menschen/gesundheit/coronavirus/aktuelle-kurznachrichten/,https://www.landkreis-boerde.de/menschen/gesundheit/coronavirus/aktuelle-kurznachrichten/,19/03/2020 23:07:00,25,,,,,,,,0,,,0,0,,,,,,,,,15,1
Burgenlandkreis,Landkreis,15084,14,17%,14,https://www.burgenlandkreis.de/de/quicklinks/corona-virus-aktuelle-entwicklung-20049167.html,https://www.burgenlandkreis.de/de/quicklinks/corona-virus-aktuelle-entwicklung-20049167.html,19/03/2020 23:09:00,14,,,,,,,,0,,,0,0,,,,,,,,,15,1
Dessau-Roßlau,Kreisfreie Stadt,15001,5,25%,5,https://verwaltung.dessau-rosslau.de/stadt-buerger/neuigkeiten/detailseite/article/corona-virus-breitet-sich-aus.html,https://verwaltung.dessau-rosslau.de/stadt-buerger/neuigkeiten/detailseite/article/corona-virus-breitet-sich-aus.html,19/03/2020 23:19:00,5,,,,,,,,0,,,0,0,,,,,,,,,15,1
Halle (Saale),Kreisfreie Stadt,15002,50,32%,50,https://www.halle.de/de/Verwaltung/Presseportal/Nachrichten/index.aspx?NewsId=45334,https://www.halle.de/de/Verwaltung/Presseportal/Nachrichten/index.aspx?NewsId=45334,19/03/2020 23:17:00,50,,,,,,,,0,,,0,0,,,,,,,,,15,1
Harz,Landkreis,15085,11,57%,11,http://www.kreis-hz.de/de/coronavirus.html,http://www.kreis-hz.de/de/coronavirus.html,19/03/2020 16:40:00,11,,166,,,,,,0,,,0,0,,,,,,,,,15,1
Jerichower Land,Landkreis,15086,3,0%,3,https://www.lkjl.de/de/index.php?id=223359001131,https://www.lkjl.de/de/index.php?id=223359001131,19/03/2020 23:10:00,3,,,,,,,,0,,,0,0,,,,,,,,,15,1
Magdeburg,Kreisfreie Stadt,15003,29,7%,29,http://magdeburg.de/Start/B%C3%BCrger-Stadt/Aktuelles-Presse/Coronavirus-Covid-19,http://magdeburg.de/Start/B%C3%BCrger-Stadt/Aktuelles-Presse/Coronavirus-Covid-19,19/03/2020 23:18:00,29,,,,,,,,0,,,0,0,,,,,,,,,15,1
Mansfeld-Südharz,Landkreis,15087,4,33%,4,https://www.mansfeldsuedharz.de/de/meldungen/landkreis.html,https://www.mansfeldsuedharz.de/de/meldungen/landkreis.html,19/03/2020 16:40:00,4,,53,,,,,,0,,,0,0,,,,,,,,,15,1
Saalekreis,Landkreis,15088,12,100%,12,https://www.saalekreis.de/de/aktuelles-publikationen/coronavirus.html,https://www.saalekreis.de/de/aktuelles-publikationen/coronavirus.html,19/03/2020 17:17:00,12,,122,,,,,,0,,,0,0,,,,,,,,,15,1
Salzlandkreis,Landkreis,15089,11,38%,11,https://www.salzlandkreis.de/verwaltung/fachdienste-plattform/34-gesundheit/corona-virus/,https://www.salzlandkreis.de/verwaltung/fachdienste-plattform/34-gesundheit/corona-virus/,19/03/2020 23:14:00,11,,,,,,,,0,,,0,0,,,,,,,,,15,1
Stendal,Landkreis,15090,7,40%,7,https://www.landkreis-stendal.de/,https://www.landkreis-stendal.de/,19/03/2020 23:15:00,7,,39,,,,,,0,,,0,0,,,,,,,,,15,1
Wittenberg,Landkreis,15091,11,57%,11,https://www.landkreis-wittenberg.de/de/aktuelles/informationen-zum-coronavirus.html,https://www.landkreis-wittenberg.de/de/aktuelles/informationen-zum-coronavirus.html,19/03/2020 16:11:00,11,,,,,,,,0,,,0,0,,,,,,,,,15,1
Altenburger Land,Landkreis,16077,5,0%,5,https://www.altenburgerland.de/sixcms/detail.php?&_nav_id1=2508&_lang=de&id=371691,https://www.altenburgerland.de/sixcms/detail.php?&_nav_id1=2508&_lang=de&id=371691,19/03/2020 22:27:00,5,,,1/0,,,,,0,,,0,0,,,,,,,,,16,1
Eichsfeld,Landkreis,16061,4,33%,4,https://www.kreis-eic.de/pressemitteilungen.html,https://www.kreis-eic.de/pressemitteilungen.html,19/03/2020 22:29:00,4,,,,,,,,0,,,0,0,,,,,,,,,16,1
Eisenach,Kreisfreie Stadt,16056,1,-50%,1,https://www.eisenach.de/startseite,https://www.wartburgkreis.de/leben-im-wartburgkreis/gesundheit/aktuelle-informationen-zum-corona-virus,19/03/2020 22:33:00,1,1,0,,,,,,0,,,0,0,,,,,,,,,16,1
Erfurt,Kreisfreie Stadt,16051,16,-11%,16,https://www.erfurt.de/ef/de/service/aktuelles/am/2020/135164.html,https://www.erfurt.de/ef/de/service/aktuelles/am/2020/135164.html,19/03/2020 22:36:00,16,1,14,2/0,,,,,0,,,0,0,,,,,,,,,16,1
Gera,Kreisfreie Stadt,16052,5,25%,5,https://www.gera.de/sixcms/detail.php?id=200096&_lang=de,https://www.gera.de/sixcms/detail.php?id=200096&_lang=de,19/03/2020 22:38:00,5,,5,,,,,,0,,,0,0,,,,,,,,,16,1
Gotha,Landkreis,16067,5,400%,5,https://www.landkreis-gotha.de/,https://www.landkreis-gotha.de/,19/03/2020 22:39:00,5,,,,,,,,0,,,0,0,,,,,,,,,16,1
Greiz,Landkreis,16076,15,114%,15,https://www.landkreis-greiz.de/landkreis-greiz/aktuell/,https://www.landkreis-greiz.de/landkreis-greiz/aktuell/,19/03/2020 22:41:00,15,,,4/0,,,,,0,,,0,0,,,,,,,,,16,1
Hildburghausen,Landkreis,16069,0,0%,0,"https://www.landkreis-hildburghausen.de/Schnellnavigation/Startseite/Pressemitteilung-zur-Allgemeinverf%C3%BCgung-des-Landratsamtes-Hildburghausen-zum-Verbot-von-Veranstaltungen-auf-dem-Gebiet-des-Landkreises-Hildburghausen.php?object=tx,2902.5&ModID=7&FID=2902.1369.1","https://www.landkreis-hildburghausen.de/Schnellnavigation/Startseite/Pressemitteilung-zur-Allgemeinverf%C3%BCgung-des-Landratsamtes-Hildburghausen-zum-Verbot-von-Veranstaltungen-auf-dem-Gebiet-des-Landkreises-Hildburghausen.php?object=tx,2902.5&ModID=7&FID=2902.1369.1",19/03/2020 22:43:00,0,,,,,,,,0,,,0,0,,,,,,,,,16,#DIV/0!
Ilm-Kreis,Landkreis,16070,4,33%,4,https://www.ilm-kreis.de/,https://www.ilm-kreis.de/,19/03/2020 17:49:00,4,,,,,,,,0,,,0,0,,,,,,,,,16,1
Jena,Kreisfreie Stadt,16053,45,50%,45,https://gesundheit.jena.de/de/coronavirus,https://gesundheit.jena.de/de/coronavirus,19/03/2020 20:25:00,45,,,,,,,,0,,,0,0,,,,,,,,,16,1
Kyffhäuserkreis,Landkreis,16065,8,0%,8,https://www.kyffhaeuser.de/kyf/index.php/pressemeldungen-leser/items/2140.html,https://www.kyffhaeuser.de/kyf/index.php/pressemeldungen-leser/items/2140.html,19/03/2020 22:45:00,8,,,,,,,,0,,,0,0,,,,,,,,,16,1
Nordhausen,Landkreis,16062,2,0%,2,https://www.landratsamt-nordhausen.de/informationen-coronavirus.html,https://www.landratsamt-nordhausen.de/informationen-coronavirus.html,19/03/2020 22:46:00,2,,,,,,,,0,,,0,0,,,,,,,,,16,1
Saale-Holzland-Kreis,Landkreis,16074,10,100%,10,https://www.saaleholzlandkreis.de/index.php?id=2759,https://www.saaleholzlandkreis.de/index.php?id=2759,19/03/2020 12:40:00,10,,235,,,,,,0,,,0,0,,,,,,,,,16,1
Saale-Orla-Kreis,Landkreis,16075,5,25%,5,https://www.saale-orla-kreis.de/sok/,https://www.saale-orla-kreis.de/sok/,19/03/2020 00:00:00,5,,,,,,,,0,,,0,0,,,,,,,,,16,1
Saalfeld-Rudolstadt,Landkreis,16073,8,60%,8,http://www.kreis-slf.de/landratsamt/nachrichtenansicht/archive/2020/m%C3%A4rz/13/article/fuenf-bestaetigte-corona-faelle-im-landkreis/,http://www.kreis-slf.de/landratsamt/nachrichtenansicht/archive/2020/m%C3%A4rz/13/article/fuenf-bestaetigte-corona-faelle-im-landkreis/,19/03/2020 22:48:00,8,,,,,,,,0,,,0,0,,,,,,,,,16,1
Schmalkalden-Meiningen,Landkreis,16066,5,0%,5,https://www.lra-sm.de/?p=22632,https://www.lra-sm.de/?p=22632,19/03/2020 22:50:00,5,,,,,,,,0,,,0,0,,,,,,,,,16,1
Sömmerda,Landkreis,16068,1,NEU,1,https://www.lra-soemmerda.de/,https://www.lra-soemmerda.de/,19/03/2020 22:51:00,1,,,,,,,,0,,,0,0,,,,,,,,,16,1
Sonneberg,Landkreis,16072,0,0%,0,https://www.kreis-sonneberg.de/,https://www.kreis-sonneberg.de/,19/03/2020 22:52:00,0,,,,,,,,0,,,0,0,,,,,,,,,16,#DIV/0!
Suhl,Kreisfreie Stadt,16054,1,0%,1,https://www.suhltrifft.de/content/blogsection/41/2246/,https://www.suhltrifft.de/content/blogsection/41/2246/,19/03/2020 16:40:00,1,,,,,,,,0,,,0,0,,,,,,,,,16,1
Unstrut-Hainich-Kreis,Landkreis,16064,5,150%,5,https://www.unstrut-hainich-kreis.de/,https://www.unstrut-hainich-kreis.de/,19/03/2020 19:00:00,5,,,,,,,,0,,,0,0,,,,,,,,,16,1
Wartburgkreis,Landkreis,16063,5,0%,5,https://www.wartburgkreis.de/leben-im-wartburgkreis/gesundheit/aktuelle-informationen-zum-corona-virus,https://www.wartburgkreis.de/leben-im-wartburgkreis/gesundheit/aktuelle-informationen-zum-corona-virus,19/03/2020 22:34:00,5,,57,,,,,,0,,,0,0,,,,,,,,,16,1
Weimar,Kreisfreie Stadt,16055,11,83%,11,https://stadt.weimar.de/nc/aktuell/,https://stadt.weimar.de/nc/aktuell/,19/03/2020 00:00:00,11,,,,,,,,0,,,0,0,,,,,,,,,16,1
Weimarer Land,Landkreis,16071,4,100%,4,https://www.weimarerland.de/soziales/index.html,https://www.weimarerland.de/soziales/index.html,19/03/2020 22:57:00,4,,,,,,,,0,,,0,0,,,,,,,,,16,1
